,title,artist,id,duration,popularity,features,timestamp,created_at
36,'Yellow','Coldplay',3AJwUDP919kvQ9QcozQPxg,266773,89,"{""danceability"": 0.429, ""energy"": 0.661, ""key"": 11, ""loudness"": -7.227, ""mode"": 1, ""speechiness"": 0.0281, ""acousticness"": 0.00239, ""instrumentalness"": 0.000121, ""liveness"": 0.234, ""valence"": 0.285, ""tempo"": 173.372, ""type"": ""audio_features"", ""id"": ""3AJwUDP919kvQ9QcozQPxg"", ""uri"": ""spotify:track:3AJwUDP919kvQ9QcozQPxg"", ""track_href"": ""https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg"", ""duration_ms"": 266773, ""time_signature"": 4}",1663381653.901,1663418927.72871
35,'Just a Song Before I Go',"'Crosby, Stills & Nash'",4dAN7KcWCWx5jV6dpwtfvN,133960,60,"{""danceability"": 0.671, ""energy"": 0.233, ""key"": 11, ""loudness"": -18.003, ""mode"": 0, ""speechiness"": 0.0378, ""acousticness"": 0.875, ""instrumentalness"": 0.00016, ""liveness"": 0.12, ""valence"": 0.486, ""tempo"": 108.065, ""type"": ""audio_features"", ""id"": ""4dAN7KcWCWx5jV6dpwtfvN"", ""uri"": ""spotify:track:4dAN7KcWCWx5jV6dpwtfvN"", ""track_href"": ""https://api.spotify.com/v1/tracks/4dAN7KcWCWx5jV6dpwtfvN"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/4dAN7KcWCWx5jV6dpwtfvN"", ""duration_ms"": 133960, ""time_signature"": 4}",1663381788.09,1663418927.425647
34,'Have It All','Jason Mraz',1pIMxRddmCGalHnRbLFkWg,226098,53,"{""danceability"": 0.643, ""energy"": 0.617, ""key"": 1, ""loudness"": -4.95, ""mode"": 0, ""speechiness"": 0.041, ""acousticness"": 0.194, ""instrumentalness"": 0, ""liveness"": 0.0989, ""valence"": 0.592, ""tempo"": 82.029, ""type"": ""audio_features"", ""id"": ""1pIMxRddmCGalHnRbLFkWg"", ""uri"": ""spotify:track:1pIMxRddmCGalHnRbLFkWg"", ""track_href"": ""https://api.spotify.com/v1/tracks/1pIMxRddmCGalHnRbLFkWg"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/1pIMxRddmCGalHnRbLFkWg"", ""duration_ms"": 226098, ""time_signature"": 4}",1663382014.217,1663418927.098253
33,'The Bones - with Hozier','Maren Morris',1yTTMcUhL7rtz08Dsgb7Qb,197298,70,"{""danceability"": 0.561, ""energy"": 0.597, ""key"": 11, ""loudness"": -6.0, ""mode"": 0, ""speechiness"": 0.0405, ""acousticness"": 0.286, ""instrumentalness"": 0, ""liveness"": 0.0979, ""valence"": 0.355, ""tempo"": 76.826, ""type"": ""audio_features"", ""id"": ""1yTTMcUhL7rtz08Dsgb7Qb"", ""uri"": ""spotify:track:1yTTMcUhL7rtz08Dsgb7Qb"", ""track_href"": ""https://api.spotify.com/v1/tracks/1yTTMcUhL7rtz08Dsgb7Qb"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/1yTTMcUhL7rtz08Dsgb7Qb"", ""duration_ms"": 197299, ""time_signature"": 4}",1663382212.435,1663418926.792
32,'You Are The Reason','Calum Scott',69vToJ9BMbbLlFZo7k7A7B,204326,81,"{""danceability"": 0.329, ""energy"": 0.235, ""key"": 10, ""loudness"": -7.699, ""mode"": 1, ""speechiness"": 0.0303, ""acousticness"": 0.918, ""instrumentalness"": 0, ""liveness"": 0.137, ""valence"": 0.22, ""tempo"": 171.006, ""type"": ""audio_features"", ""id"": ""69vToJ9BMbbLlFZo7k7A7B"", ""uri"": ""spotify:track:69vToJ9BMbbLlFZo7k7A7B"", ""track_href"": ""https://api.spotify.com/v1/tracks/69vToJ9BMbbLlFZo7k7A7B"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/69vToJ9BMbbLlFZo7k7A7B"", ""duration_ms"": 204326, ""time_signature"": 3}",1663382417.554,1663418926.471284
31,'Let's Fall in Love for the Night','FINNEAS',7kQkmyoHCEqwe7QwDbkSXM,190348,71,"{""danceability"": 0.737, ""energy"": 0.408, ""key"": 5, ""loudness"": -7.941, ""mode"": 1, ""speechiness"": 0.104, ""acousticness"": 0.802, ""instrumentalness"": 0, ""liveness"": 0.171, ""valence"": 0.374, ""tempo"": 127.921, ""type"": ""audio_features"", ""id"": ""7kQkmyoHCEqwe7QwDbkSXM"", ""uri"": ""spotify:track:7kQkmyoHCEqwe7QwDbkSXM"", ""track_href"": ""https://api.spotify.com/v1/tracks/7kQkmyoHCEqwe7QwDbkSXM"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/7kQkmyoHCEqwe7QwDbkSXM"", ""duration_ms"": 190348, ""time_signature"": 4}",1663382608.495,1663418926.159382
30,'Be Alright','Dean Lewis',3EPXxR3ImUwfayaurPi3cm,196373,79,"{""danceability"": 0.553, ""energy"": 0.586, ""key"": 11, ""loudness"": -6.319, ""mode"": 1, ""speechiness"": 0.0362, ""acousticness"": 0.697, ""instrumentalness"": 0, ""liveness"": 0.0813, ""valence"": 0.443, ""tempo"": 126.684, ""type"": ""audio_features"", ""id"": ""3EPXxR3ImUwfayaurPi3cm"", ""uri"": ""spotify:track:3EPXxR3ImUwfayaurPi3cm"", ""track_href"": ""https://api.spotify.com/v1/tracks/3EPXxR3ImUwfayaurPi3cm"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm"", ""duration_ms"": 196373, ""time_signature"": 4}",1663382805.523,1663418925.847181
29,'Let Me Down Slowly','Alec Benjamin',2qxmye6gAegTMjLKEBoR3d,169353,84,"{""danceability"": 0.652, ""energy"": 0.557, ""key"": 1, ""loudness"": -5.714, ""mode"": 0, ""speechiness"": 0.0318, ""acousticness"": 0.74, ""instrumentalness"": 0, ""liveness"": 0.124, ""valence"": 0.483, ""tempo"": 150.073, ""type"": ""audio_features"", ""id"": ""2qxmye6gAegTMjLKEBoR3d"", ""uri"": ""spotify:track:2qxmye6gAegTMjLKEBoR3d"", ""track_href"": ""https://api.spotify.com/v1/tracks/2qxmye6gAegTMjLKEBoR3d"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/2qxmye6gAegTMjLKEBoR3d"", ""duration_ms"": 169354, ""time_signature"": 4}",1663382974.481,1663418925.541213
28,'Say You Won't Let Go','James Arthur',1Pw5C4N6Fn5E4mGCxmbbVa,211240,68,"{""danceability"": 0.4, ""energy"": 0.564, ""key"": 10, ""loudness"": -7.444, ""mode"": 1, ""speechiness"": 0.0523, ""acousticness"": 0.693, ""instrumentalness"": 0, ""liveness"": 0.0863, ""valence"": 0.483, ""tempo"": 99.269, ""type"": ""audio_features"", ""id"": ""1Pw5C4N6Fn5E4mGCxmbbVa"", ""uri"": ""spotify:track:1Pw5C4N6Fn5E4mGCxmbbVa"", ""track_href"": ""https://api.spotify.com/v1/tracks/1Pw5C4N6Fn5E4mGCxmbbVa"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/1Pw5C4N6Fn5E4mGCxmbbVa"", ""duration_ms"": 211240, ""time_signature"": 4}",1663383186.36,1663418925.222945
27,'Photograph','Ed Sheeran',1HNkqx9Ahdgi1Ixy2xkKkL,258986,84,"{""danceability"": 0.614, ""energy"": 0.379, ""key"": 4, ""loudness"": -10.48, ""mode"": 1, ""speechiness"": 0.0476, ""acousticness"": 0.607, ""instrumentalness"": 0.000464, ""liveness"": 0.0986, ""valence"": 0.201, ""tempo"": 107.989, ""type"": ""audio_features"", ""id"": ""1HNkqx9Ahdgi1Ixy2xkKkL"", ""uri"": ""spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL"", ""track_href"": ""https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL"", ""duration_ms"": 258987, ""time_signature"": 4}",1663383446.112,1663418924.91582
26,'Someone You Loved','Lewis Capaldi',7qEHsqek33rTcFNT9PFqLf,182160,87,"{""danceability"": 0.501, ""energy"": 0.405, ""key"": 1, ""loudness"": -5.679, ""mode"": 1, ""speechiness"": 0.0319, ""acousticness"": 0.751, ""instrumentalness"": 0, ""liveness"": 0.105, ""valence"": 0.446, ""tempo"": 109.891, ""type"": ""audio_features"", ""id"": ""7qEHsqek33rTcFNT9PFqLf"", ""uri"": ""spotify:track:7qEHsqek33rTcFNT9PFqLf"", ""track_href"": ""https://api.spotify.com/v1/tracks/7qEHsqek33rTcFNT9PFqLf"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/7qEHsqek33rTcFNT9PFqLf"", ""duration_ms"": 182161, ""time_signature"": 4}",1663383628.279,1663418924.601063
25,'Moral of the Story','Ashe',2FT9WmWskvuRt735aMy0mL,201083,51,"{""danceability"": 0.571, ""energy"": 0.404, ""key"": 0, ""loudness"": -8.592, ""mode"": 0, ""speechiness"": 0.0415, ""acousticness"": 0.594, ""instrumentalness"": 9.12e-06, ""liveness"": 0.104, ""valence"": 0.305, ""tempo"": 119.793, ""type"": ""audio_features"", ""id"": ""2FT9WmWskvuRt735aMy0mL"", ""uri"": ""spotify:track:2FT9WmWskvuRt735aMy0mL"", ""track_href"": ""https://api.spotify.com/v1/tracks/2FT9WmWskvuRt735aMy0mL"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/2FT9WmWskvuRt735aMy0mL"", ""duration_ms"": 201084, ""time_signature"": 4}",1663383830.224,1663418924.300946
24,'Fallin' All In You','Shawn Mendes',5EYBryPOgIEPB7r5QIy6eG,235746,71,"{""danceability"": 0.853, ""energy"": 0.476, ""key"": 8, ""loudness"": -6.696, ""mode"": 1, ""speechiness"": 0.0361, ""acousticness"": 0.405, ""instrumentalness"": 0, ""liveness"": 0.111, ""valence"": 0.796, ""tempo"": 92.038, ""type"": ""audio_features"", ""id"": ""5EYBryPOgIEPB7r5QIy6eG"", ""uri"": ""spotify:track:5EYBryPOgIEPB7r5QIy6eG"", ""track_href"": ""https://api.spotify.com/v1/tracks/5EYBryPOgIEPB7r5QIy6eG"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/5EYBryPOgIEPB7r5QIy6eG"", ""duration_ms"": 235747, ""time_signature"": 4}",1663384066.89,1663418923.979729
23,'See You In Life','Valentina Ploy',4dNZaLSXpJMQowi7LX3gtC,241750,53,"{""danceability"": 0.728, ""energy"": 0.748, ""key"": 9, ""loudness"": -7.06, ""mode"": 1, ""speechiness"": 0.0462, ""acousticness"": 0.286, ""instrumentalness"": 0.000154, ""liveness"": 0.329, ""valence"": 0.497, ""tempo"": 125.023, ""type"": ""audio_features"", ""id"": ""4dNZaLSXpJMQowi7LX3gtC"", ""uri"": ""spotify:track:4dNZaLSXpJMQowi7LX3gtC"", ""track_href"": ""https://api.spotify.com/v1/tracks/4dNZaLSXpJMQowi7LX3gtC"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/4dNZaLSXpJMQowi7LX3gtC"", ""duration_ms"": 241750, ""time_signature"": 4}",1663384308.871,1663418923.668607
22,'Losing Me','Gabrielle Aplin',4P6g8wuXeR3wznFk7WnI4w,180640,63,"{""danceability"": 0.66, ""energy"": 0.449, ""key"": 7, ""loudness"": -6.573, ""mode"": 1, ""speechiness"": 0.0442, ""acousticness"": 0.209, ""instrumentalness"": 0, ""liveness"": 0.111, ""valence"": 0.237, ""tempo"": 133.984, ""type"": ""audio_features"", ""id"": ""4P6g8wuXeR3wznFk7WnI4w"", ""uri"": ""spotify:track:4P6g8wuXeR3wznFk7WnI4w"", ""track_href"": ""https://api.spotify.com/v1/tracks/4P6g8wuXeR3wznFk7WnI4w"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/4P6g8wuXeR3wznFk7WnI4w"", ""duration_ms"": 180640, ""time_signature"": 4}",1663384489.772,1663418923.356163
21,'This Is Why I Need You','Jesse Ruben',5CtFsq9BSDpBgMU6MeQ8ZS,224253,43,"{""danceability"": 0.369, ""energy"": 0.31, ""key"": 3, ""loudness"": -15.304, ""mode"": 1, ""speechiness"": 0.0404, ""acousticness"": 0.819, ""instrumentalness"": 0.00558, ""liveness"": 0.107, ""valence"": 0.344, ""tempo"": 78.562, ""type"": ""audio_features"", ""id"": ""5CtFsq9BSDpBgMU6MeQ8ZS"", ""uri"": ""spotify:track:5CtFsq9BSDpBgMU6MeQ8ZS"", ""track_href"": ""https://api.spotify.com/v1/tracks/5CtFsq9BSDpBgMU6MeQ8ZS"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/5CtFsq9BSDpBgMU6MeQ8ZS"", ""duration_ms"": 224253, ""time_signature"": 4}",1663384714.38,1663418923.047449
20,'Had It All','Parachute',5cXAhazDamL2rcIxThZWOt,216853,44,"{""danceability"": 0.606, ""energy"": 0.54, ""key"": 7, ""loudness"": -6.271, ""mode"": 0, ""speechiness"": 0.0339, ""acousticness"": 0.182, ""instrumentalness"": 0.000144, ""liveness"": 0.144, ""valence"": 0.249, ""tempo"": 79.952, ""type"": ""audio_features"", ""id"": ""5cXAhazDamL2rcIxThZWOt"", ""uri"": ""spotify:track:5cXAhazDamL2rcIxThZWOt"", ""track_href"": ""https://api.spotify.com/v1/tracks/5cXAhazDamL2rcIxThZWOt"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/5cXAhazDamL2rcIxThZWOt"", ""duration_ms"": 216853, ""time_signature"": 4}",1663384931.991,1663418922.739308
19,'Peer Pressure','James Bay',4RE3vueod5PL48rvHtuu9C,176826,67,"{""danceability"": 0.631, ""energy"": 0.715, ""key"": 1, ""loudness"": -6.083, ""mode"": 0, ""speechiness"": 0.0277, ""acousticness"": 0.0299, ""instrumentalness"": 0, ""liveness"": 0.122, ""valence"": 0.42, ""tempo"": 135.826, ""type"": ""audio_features"", ""id"": ""4RE3vueod5PL48rvHtuu9C"", ""uri"": ""spotify:track:4RE3vueod5PL48rvHtuu9C"", ""track_href"": ""https://api.spotify.com/v1/tracks/4RE3vueod5PL48rvHtuu9C"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/4RE3vueod5PL48rvHtuu9C"", ""duration_ms"": 176827, ""time_signature"": 4}",1663385108.921,1663418922.41715
18,'Modern Loneliness','Lauv',1eyek0KJEh2v5HQ9uQSybb,252337,63,"{""danceability"": 0.702, ""energy"": 0.508, ""key"": 8, ""loudness"": -7.105, ""mode"": 1, ""speechiness"": 0.035, ""acousticness"": 0.144, ""instrumentalness"": 0, ""liveness"": 0.108, ""valence"": 0.143, ""tempo"": 82.009, ""type"": ""audio_features"", ""id"": ""1eyek0KJEh2v5HQ9uQSybb"", ""uri"": ""spotify:track:1eyek0KJEh2v5HQ9uQSybb"", ""track_href"": ""https://api.spotify.com/v1/tracks/1eyek0KJEh2v5HQ9uQSybb"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/1eyek0KJEh2v5HQ9uQSybb"", ""duration_ms"": 252337, ""time_signature"": 4}",1663385362.482,1663418922.109396
17,'Love Someone','Lukas Graham',2JqnpexlO9dmvjUMCaLCLJ,205463,66,"{""danceability"": 0.55, ""energy"": 0.415, ""key"": 9, ""loudness"": -6.557, ""mode"": 0, ""speechiness"": 0.052, ""acousticness"": 0.161, ""instrumentalness"": 0, ""liveness"": 0.108, ""valence"": 0.274, ""tempo"": 172.065, ""type"": ""audio_features"", ""id"": ""2JqnpexlO9dmvjUMCaLCLJ"", ""uri"": ""spotify:track:2JqnpexlO9dmvjUMCaLCLJ"", ""track_href"": ""https://api.spotify.com/v1/tracks/2JqnpexlO9dmvjUMCaLCLJ"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/2JqnpexlO9dmvjUMCaLCLJ"", ""duration_ms"": 205463, ""time_signature"": 4}",1663385568.7,1663418921.80194
16,'comethru (with Bea Miller)','Jeremy Zucker',0PgYPBGqF6Wm5KFHQ81nq5,181626,63,"{""danceability"": 0.757, ""energy"": 0.192, ""key"": 0, ""loudness"": -11.842, ""mode"": 1, ""speechiness"": 0.0515, ""acousticness"": 0.572, ""instrumentalness"": 0, ""liveness"": 0.606, ""valence"": 0.595, ""tempo"": 94.024, ""type"": ""audio_features"", ""id"": ""0PgYPBGqF6Wm5KFHQ81nq5"", ""uri"": ""spotify:track:0PgYPBGqF6Wm5KFHQ81nq5"", ""track_href"": ""https://api.spotify.com/v1/tracks/0PgYPBGqF6Wm5KFHQ81nq5"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/0PgYPBGqF6Wm5KFHQ81nq5"", ""duration_ms"": 181627, ""time_signature"": 4}",1663385750.762,1663418921.488282
